Year,Month,Keyword_Flag_Proportion
2018,1,0.1927710843373494
2018,2,0.35
2018,3,0.24561403508771928
2018,4,0.28104575163398693
2018,5,0.2777777777777778
2018,6,0.15217391304347827
2018,7,0.24
2018,8,0.47619047619047616
2018,9,0.3541666666666667
2018,10,0.24822695035460993
2018,11,0.3469387755102041
2018,12,0.25925925925925924
2019,1,0.2857142857142857
2019,2,0.42657342657342656
2019,3,0.330188679245283
2019,4,0.30994152046783624
2019,5,0.36666666666666664
2019,6,0.3333333333333333
2019,7,0.34146341463414637
2019,8,0.288135593220339
2019,9,0.2717391304347826
2019,10,0.32903225806451614
2019,11,0.2857142857142857
2019,12,0.175
2020,1,0.3076923076923077
2020,2,0.29285714285714287
2020,3,0.21311475409836064
2020,4,0.26881720430107525
2020,5,0.3118279569892473
2020,6,0.34615384615384615
2020,7,0.4423076923076923
2020,8,0.5
2020,9,0.45454545454545453
2020,10,0.3516483516483517
2020,11,0.30526315789473685
2020,12,0.29850746268656714
2021,1,0.3333333333333333
2021,2,0.43373493975903615
2021,3,0.2753623188405797
2021,4,0.2987012987012987
2021,5,0.43010752688172044
2021,6,0.5555555555555556
2021,7,0.3684210526315789
2021,8,0.34782608695652173
2021,9,0.2191780821917808
2021,10,0.33093525179856115
2021,11,0.3617021276595745
2021,12,0.30612244897959184
2022,1,0.41975308641975306
2022,2,0.49242424242424243
2022,3,0.3918918918918919
2022,4,0.36231884057971014
2022,5,0.4473684210526316
2022,6,0.3181818181818182
2022,7,0.2857142857142857
2022,8,0.28
2022,9,0.35294117647058826
2022,10,0.42857142857142855
2022,11,0.2916666666666667
2022,12,0.0625
2023,1,0.4264705882352941
2023,2,0.48717948717948717
2023,3,0.41333333333333333
2023,4,0.29591836734693877
2023,5,0.43333333333333335
2023,6,0.38461538461538464
2023,7,0.48148148148148145
2023,8,0.625
2023,9,0.21052631578947367
2023,10,0.5376344086021505
2023,11,0.43333333333333335
2023,12,0.45454545454545453
2024,1,0.4186046511627907
2024,2,0.5
2024,3,0.5384615384615384
2024,4,0.5679012345679012
2024,5,0.5153846153846153
2024,6,0.5789473684210527
2024,7,0.0
